modelName, modelType, regularizationParam, maxDepth, metricValue
OpLogisticRegression_000000000019_1, "OpLogisticRegression", 0.01, null, 0.22951686933714832
OpLogisticRegression_000000000019_2, "OpLogisticRegression", 0.1, null, 0.22046390981285216
OpLogisticRegression_000000000019_3, "OpLogisticRegression", 0.2, null, 0.2266910698471091
OpLogisticRegression_000000000019_4, "OpLogisticRegression", 0.001, null, 0.21662475791461078
OpLogisticRegression_000000000019_5, "OpLogisticRegression", 0.01, null, 0.23459290726304827
OpLogisticRegression_000000000019_6, "OpLogisticRegression", 0.1, null, 0.22250551687055364
OpLogisticRegression_000000000019_7, "OpLogisticRegression", 0.2, null, 0.29132710845425436
OpRandomForestClassifier_00000000001a_0, "OpRandomForestClassifier", null, 3, 0.24552370125446457
OpRandomForestClassifier_00000000001a_1, "OpRandomForestClassifier", null, 6, 0.24351752503576535
OpRandomForestClassifier_00000000001a_2, "OpRandomForestClassifier", null, 12, 0.24382302098235575
OpRandomForestClassifier_00000000001a_3, "OpRandomForestClassifier", null, 3, 0.2512013031249696
OpRandomForestClassifier_00000000001a_4, "OpRandomForestClassifier", null, 6, 0.23911938702519633
OpRandomForestClassifier_00000000001a_5, "OpRandomForestClassifier", null, 12, 0.23884932191760824
OpRandomForestClassifier_00000000001a_6, "OpRandomForestClassifier", null, 3, 0.33595339065526064
OpRandomForestClassifier_00000000001a_7, "OpRandomForestClassifier", null, 6, 0.33595339065526064
OpRandomForestClassifier_00000000001a_8, "OpRandomForestClassifier", null, 12, 0.33595339065526064
OpRandomForestClassifier_00000000001a_9, "OpRandomForestClassifier", null, 3, 0.3062796828316448
OpRandomForestClassifier_00000000001a_10, "OpRandomForestClassifier", null, 6, 0.3062796828316448
OpRandomForestClassifier_00000000001a_11, "OpRandomForestClassifier", null, 12, 0.3062796828316448
OpRandomForestClassifier_00000000001a_12, "OpRandomForestClassifier", null, 3, 0.31567356914153355
OpRandomForestClassifier_00000000001a_13, "OpRandomForestClassifier", null, 6, 0.31567356914153355
OpRandomForestClassifier_00000000001a_14, "OpRandomForestClassifier", null, 12, 0.31567356914153355
OpRandomForestClassifier_00000000001a_15, "OpRandomForestClassifier", null, 3, 0.33595339065526064
OpRandomForestClassifier_00000000001a_16, "OpRandomForestClassifier", null, 6, 0.33595339065526064
OpRandomForestClassifier_00000000001a_17, "OpRandomForestClassifier", null, 12, 0.33595339065526064
